TRAFFIC_STUDY_SPEED_ID,ROW_ID,DATA_FILE,SITE_CODE,DATETIME,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,TIME,SPEED_CHANNEL,COUNT_TOTAL,SPEED_0_14,SPEED_15_19,SPEED_20_24,SPEED_25_29,SPEED_30_34,SPEED_35_39,SPEED_40_44,SPEED_45_49,SPEED_50_54,SPEED_55_59,SPEED_60_64,SPEED_65_69,SPEED_70_200
,1c0a80faedae5b8e31c7c2fff8bd93b695441f69,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 10:00:00 PM,2016,3,29,1,22:00,NB,38,1,2,9,13,9,3,1,0,0,0,0,0,0
,e39b37defe10c3d66389886c83650f7c682aad09,PecanSpringsRd2940BD.rdf,G18JMA,03/29/2016 11:00:00 PM,2016,3,29,1,23:00,NB,23,1,2,6,4,10,0,0,0,0,0,0,0,0
,5e5b42108eaf47a401c1534e8ebddf3074bcb9f3,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 12:00:00 AM,2016,3,30,2,00:00,NB,16,1,0,4,7,2,1,0,1,0,0,0,0,0
,634c544141242112b31702eb16bb6f1872fedfcf,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 01:00:00 AM,2016,3,30,2,01:00,NB,11,0,0,1,6,4,0,0,0,0,0,0,0,0
,76eecb1bd90126fa05b8ac583b08301ab24bcb5c,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 02:00:00 AM,2016,3,30,2,02:00,NB,8,0,0,4,3,1,0,0,0,0,0,0,0,0
,a09d0fc3a22b4c8debbc97443b378535a15d4182,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 03:00:00 AM,2016,3,30,2,03:00,NB,7,0,0,3,4,0,0,0,0,0,0,0,0,0
,37111c857f8eeadadf7f82df7d7de9005099e29e,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 04:00:00 AM,2016,3,30,2,04:00,NB,3,0,0,0,2,1,0,0,0,0,0,0,0,0
,712ab202436b7dcc598966a3d0eaad9f082eca6f,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 05:00:00 AM,2016,3,30,2,05:00,NB,3,0,0,1,2,0,0,0,0,0,0,0,0,0
,bc373f258f24565949ad9c08016f1ca19958fde2,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 06:00:00 AM,2016,3,30,2,06:00,NB,3,0,0,3,0,0,0,0,0,0,0,0,0,0
,3767d9773fa40e1b6f7cae11c02a35c176514342,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 07:00:00 AM,2016,3,30,2,07:00,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,d6277742582ee1c1cb41b793561c8fedd3871be4,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 08:00:00 AM,2016,3,30,2,08:00,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
